,Node,Network,Group,Network type,Conserved fraction,Prevalence of conserved fraction,Centrality,Upper limit,Lower limit,Values
87,1126251,Input,networks,Input networks,,,Degree,1.0,0.6221754059459547,"[('arctic_flash.graphml', 0.9335106382978723), ('arctic_spiec.graphml', 0.9867021276595744)]"
88,697651,Input,networks,Input networks,,,Degree,1.0,0.0,"[('arctic_flash.graphml', 0.2898936170212766), ('arctic_spiec.graphml', 0.04521276595744681)]"
89,338517,Input,networks,Input networks,,,Degree,1.0,0.0,"[('arctic_flash.graphml', 0.8297872340425532), ('arctic_spiec.graphml', 0.24202127659574468)]"
90,536860,Input,networks,Input networks,,,Degree,1.0,0.0,"[('arctic_flash.graphml', 0.2898936170212766), ('arctic_spiec.graphml', 0.5372340425531915)]"
91,1142733,Input,networks,Input networks,,,Degree,1.0,0.0,"[('arctic_flash.graphml', 0.2898936170212766), ('arctic_spiec.graphml', 0.13829787234042554)]"
92,4345884,Input,networks,Input networks,,,Degree,0.8699356683674315,0.0,"[('arctic_flash.graphml', 0.013297872340425532), ('arctic_spiec.graphml', 0.13829787234042554)]"
93,839128,Input,networks,Input networks,,,Degree,1.0,0.0,"[('arctic_flash.graphml', 0.8297872340425532), ('arctic_spiec.graphml', 0.5372340425531915)]"
94,545339,Input,networks,Input networks,,,Degree,0.956439772523854,0.1791985253484864,"[('arctic_flash.graphml', 0.598404255319149), ('arctic_spiec.graphml', 0.5372340425531915)]"
95,673846,Input,networks,Input networks,,,Degree,1.0,0.0,"[('arctic_flash.graphml', 0.0797872340425532), ('arctic_spiec.graphml', 0.24202127659574468)]"
96,1110562,Input,networks,Input networks,,,Degree,1.0,0.0,"[('arctic_flash.graphml', 0.598404255319149), ('arctic_spiec.graphml', 0.38563829787234044)]"
97,114356,Input,networks,Input networks,,,Degree,0.9082519687757251,0.33376930782001973,"[('arctic_flash.graphml', 0.598404255319149), ('arctic_spiec.graphml', 0.6436170212765957)]"
98,113212,Input,networks,Input networks,,,Degree,1.0,0.0,"[('arctic_flash.graphml', 0.598404255319149), ('arctic_spiec.graphml', 0.9148936170212766)]"
99,250050,Input,networks,Input networks,,,Degree,1.0,0.0,"[('arctic_flash.graphml', 0.0797872340425532), ('arctic_spiec.graphml', 0.24202127659574468)]"
100,83531,Input,networks,Input networks,,,Degree,0.5700953261380022,0.0,"[('arctic_flash.graphml', 0.2898936170212766), ('arctic_spiec.graphml', 0.24202127659574468)]"
101,279138,Input,networks,Input networks,,,Degree,1.0,0.2420819226147395,"[('arctic_flash.graphml', 0.9893617021276596), ('arctic_spiec.graphml', 0.8803191489361702)]"
102,766178,Input,networks,Input networks,,,Degree,0.9460417161057919,0.0,"[('arctic_flash.graphml', 0.2898936170212766), ('arctic_spiec.graphml', 0.38563829787234044)]"
103,1140775,Input,networks,Input networks,,,Degree,0.9460417161057919,0.0,"[('arctic_flash.graphml', 0.2898936170212766), ('arctic_spiec.graphml', 0.38563829787234044)]"
104,1135983,Input,networks,Input networks,,,Degree,1.0,0.0,"[('arctic_flash.graphml', 0.598404255319149), ('arctic_spiec.graphml', 0.7340425531914894)]"
105,512226,Input,networks,Input networks,,,Degree,0.9082519687757251,0.33376930782001973,"[('arctic_flash.graphml', 0.598404255319149), ('arctic_spiec.graphml', 0.6436170212765957)]"
106,210914,Input,networks,Input networks,,,Degree,1.0,0.0,"[('arctic_flash.graphml', 0.0797872340425532), ('arctic_spiec.graphml', 0.24202127659574468)]"
107,206038,Input,networks,Input networks,,,Degree,1.0,0.0,"[('arctic_flash.graphml', 0.9707446808510638), ('arctic_spiec.graphml', 0.7340425531914894)]"
108,4450676,Input,networks,Input networks,,,Degree,0.9460417161057919,0.0,"[('arctic_flash.graphml', 0.2898936170212766), ('arctic_spiec.graphml', 0.38563829787234044)]"
109,334186,Input,networks,Input networks,,,Degree,1.0,0.00474886830997201,"[('arctic_flash.graphml', 0.8297872340425532), ('arctic_spiec.graphml', 0.9707446808510638)]"
110,733712,Input,networks,Input networks,,,Degree,0.9699633104692346,0.9023771150626804,"[('arctic_flash.graphml', 0.9335106382978723), ('arctic_spiec.graphml', 0.9388297872340425)]"
111,789730,Input,networks,Input networks,,,Degree,1.0,0.0,"[('arctic_flash.graphml', 0.9707446808510638), ('arctic_spiec.graphml', 0.7340425531914894)]"
112,1136581,Input,networks,Input networks,,,Degree,1.0,0.5340187633082314,"[('arctic_flash.graphml', 0.8297872340425532), ('arctic_spiec.graphml', 0.8803191489361702)]"
113,160908,Input,networks,Input networks,,,Degree,1.0,0.5340187633082314,"[('arctic_flash.graphml', 0.8297872340425532), ('arctic_spiec.graphml', 0.8803191489361702)]"
114,3122801,Input,networks,Input networks,,,Degree,1.0,0.0,"[('arctic_flash.graphml', 0.598404255319149), ('arctic_spiec.graphml', 0.7340425531914894)]"
115,209662,Input,networks,Input networks,,,Degree,0.8764875188953408,0.7751082257855103,"[('arctic_flash.graphml', 0.8297872340425532), ('arctic_spiec.graphml', 0.8218085106382979)]"
116,276290,Input,networks,Input networks,,,Degree,0.956439772523854,0.1791985253484864,"[('arctic_flash.graphml', 0.598404255319149), ('arctic_spiec.graphml', 0.5372340425531915)]"
117,0,Input,networks,Input networks,,,Degree,1.0,0.0,"[('arctic_flash.graphml', 0.598404255319149), ('arctic_spiec.graphml', 0.38563829787234044)]"
118,216805,Input,networks,Input networks,,,Degree,1.0,0.0,"[('arctic_flash.graphml', 0.598404255319149), ('arctic_spiec.graphml', 0.7340425531914894)]"
119,765676,Input,networks,Input networks,,,Degree,0.8764875188953408,0.7751082257855103,"[('arctic_flash.graphml', 0.8297872340425532), ('arctic_spiec.graphml', 0.8218085106382979)]"
120,4369693,Input,networks,Input networks,,,Degree,0.9460417161057919,0.0,"[('arctic_flash.graphml', 0.2898936170212766), ('arctic_spiec.graphml', 0.38563829787234044)]"
121,4376272,Input,networks,Input networks,,,Degree,1.0,0.0,"[('arctic_flash.graphml', 0.598404255319149), ('arctic_spiec.graphml', 0.9148936170212766)]"
122,4424785,Input,networks,Input networks,,,Degree,1.0,0.33165086227948526,"[('arctic_flash.graphml', 0.8297872340425532), ('arctic_spiec.graphml', 0.9148936170212766)]"
123,150977,Input,networks,Input networks,,,Degree,1.0,0.0,"[('arctic_flash.graphml', 0.0797872340425532), ('arctic_spiec.graphml', 0.38563829787234044)]"
124,564196,Input,networks,Input networks,,,Degree,1.0,0.17363913495803818,"[('arctic_flash.graphml', 0.8297872340425532), ('arctic_spiec.graphml', 0.7340425531914894)]"
125,557001,Input,networks,Input networks,,,Degree,0.4807666279275347,0.0,"[('arctic_flash.graphml', 0.0797872340425532), ('arctic_spiec.graphml', 0.13829787234042554)]"
126,4369159,Input,networks,Input networks,,,Degree,1.0,0.0,"[('arctic_flash.graphml', 0.2898936170212766), ('arctic_spiec.graphml', 0.04521276595744681)]"
127,1106732,Input,networks,Input networks,,,Degree,1.0,0.0,"[('arctic_flash.graphml', 0.2898936170212766), ('arctic_spiec.graphml', 0.04521276595744681)]"
128,2578357,Input,networks,Input networks,,,Degree,0.9082519687757251,0.33376930782001973,"[('arctic_flash.graphml', 0.598404255319149), ('arctic_spiec.graphml', 0.6436170212765957)]"
129,257891,Input,networks,Input networks,,,Degree,1.0,0.0,"[('arctic_flash.graphml', 0.598404255319149), ('arctic_spiec.graphml', 0.24202127659574468)]"
130,4382894,Input,networks,Input networks,,,Degree,0.9460417161057919,0.0,"[('arctic_flash.graphml', 0.2898936170212766), ('arctic_spiec.graphml', 0.38563829787234044)]"
131,4303531,Input,networks,Input networks,,,Degree,1.0,0.0,"[('arctic_flash.graphml', 0.598404255319149), ('arctic_spiec.graphml', 0.38563829787234044)]"
132,148890,Input,networks,Input networks,,,Degree,1.0,0.0,"[('arctic_flash.graphml', 0.598404255319149), ('arctic_spiec.graphml', 0.8218085106382979)]"
133,216023,Input,networks,Input networks,,,Degree,0.2821551350712995,0.0,"[('arctic_flash.graphml', 0.0797872340425532), ('arctic_spiec.graphml', 0.04521276595744681)]"
134,4387966,Input,networks,Input networks,,,Degree,0.5700953261380022,0.0,"[('arctic_flash.graphml', 0.2898936170212766), ('arctic_spiec.graphml', 0.24202127659574468)]"
135,3616127,Input,networks,Input networks,,,Degree,0.9082519687757251,0.33376930782001973,"[('arctic_flash.graphml', 0.598404255319149), ('arctic_spiec.graphml', 0.6436170212765957)]"
136,4425896,Input,networks,Input networks,,,Degree,1.0,0.0,"[('arctic_flash.graphml', 0.0797872340425532), ('arctic_spiec.graphml', 0.38563829787234044)]"
137,442533,Input,networks,Input networks,,,Degree,1.0,0.0,"[('arctic_flash.graphml', 0.2898936170212766), ('arctic_spiec.graphml', 0.5372340425531915)]"
138,155989,Input,networks,Input networks,,,Degree,1.0,0.0,"[('arctic_flash.graphml', 0.2898936170212766), ('arctic_spiec.graphml', 0.13829787234042554)]"
139,3431064,Input,networks,Input networks,,,Degree,1.0,0.0,"[('arctic_flash.graphml', 0.8297872340425532), ('arctic_spiec.graphml', 0.5372340425531915)]"
140,1129210,Input,networks,Input networks,,,Degree,1.0,0.0,"[('arctic_flash.graphml', 0.598404255319149), ('arctic_spiec.graphml', 0.9973404255319149)]"
141,2584634,Input,networks,Input networks,,,Degree,1.0,0.0,"[('arctic_flash.graphml', 0.2898936170212766), ('arctic_spiec.graphml', 0.5372340425531915)]"
