,Network,Group,Network type,Conserved fraction,Prevalence of conserved fraction,Set type,Set size,Set type (absolute),Samples
145,Random,networks,Random networks,,,Intersection 1,2,2.0,2.0
146,Degree,networks,Degree networks,,,Difference,660,,2.0
147,Degree,networks,Degree networks,,,Intersection 1,7,2.0,2.0
148,Random,networks,Random networks,,,Difference,666,,2.0
149,Random,networks,Random networks,,,Intersection 1,4,2.0,2.0
150,Degree,networks,Degree networks,,,Difference,656,,2.0
151,Degree,networks,Degree networks,,,Intersection 1,9,2.0,2.0
152,Random,networks,Random networks,,,Difference,662,,2.0
153,Random,networks,Random networks,,,Intersection 1,6,2.0,2.0
154,Degree,networks,Degree networks,,,Difference,660,,2.0
155,Degree,networks,Degree networks,,,Intersection 1,7,2.0,2.0
156,Random,networks,Random networks,,,Difference,668,,2.0
157,Random,networks,Random networks,,,Intersection 1,3,2.0,2.0
158,Degree,networks,Degree networks,,,Difference,658,,2.0
159,Degree,networks,Degree networks,,,Intersection 1,8,2.0,2.0
160,Random,networks,Random networks,,,Difference,664,,2.0
161,Random,networks,Random networks,,,Intersection 1,5,2.0,2.0
162,Degree,networks,Degree networks,,,Difference,666,,2.0
163,Degree,networks,Degree networks,,,Intersection 1,4,2.0,2.0
164,Random,networks,Random networks,,,Difference,672,,2.0
165,Random,networks,Random networks,,,Intersection 1,1,2.0,2.0
166,Degree,networks,Degree networks,,,Difference,662,,2.0
167,Degree,networks,Degree networks,,,Intersection 1,6,2.0,2.0
168,Random,networks,Random networks,,,Difference,666,,2.0
169,Random,networks,Random networks,,,Intersection 1,4,2.0,2.0
170,Degree,networks,Degree networks,,,Difference,662,,2.0
171,Degree,networks,Degree networks,,,Intersection 1,6,2.0,2.0
172,Random,networks,Random networks,,,Difference,664,,2.0
173,Random,networks,Random networks,,,Intersection 1,5,2.0,2.0
174,Degree,networks,Degree networks,,,Difference,658,,2.0
175,Degree,networks,Degree networks,,,Intersection 1,8,2.0,2.0
176,Random,networks,Random networks,,,Difference,674,,2.0
177,Random,networks,Random networks,,,Intersection 1,0,2.0,2.0
178,Degree,networks,Degree networks,,,Difference,660,,2.0
179,Degree,networks,Degree networks,,,Intersection 1,7,2.0,2.0
180,Random,networks,Random networks,,,Difference,664,,2.0
181,Random,networks,Random networks,,,Intersection 1,5,2.0,2.0
182,Degree,networks,Degree networks,,,Difference,670,,2.0
183,Degree,networks,Degree networks,,,Intersection 1,2,2.0,2.0
184,Random,networks,Random networks,,,Difference,662,,2.0
185,Random,networks,Random networks,,,Intersection 1,6,2.0,2.0
186,Degree,networks,Degree networks,,,Difference,662,,2.0
187,Degree,networks,Degree networks,,,Intersection 1,6,2.0,2.0
188,Random,networks,Random networks,,,Difference,672,,2.0
189,Random,networks,Random networks,,,Intersection 1,1,2.0,2.0
190,Degree,networks,Degree networks,,,Difference,668,,2.0
191,Degree,networks,Degree networks,,,Intersection 1,3,2.0,2.0
192,Random,networks,Random networks,,,Difference,664,,2.0
193,Random,networks,Random networks,,,Intersection 1,5,2.0,2.0
194,Degree,networks,Degree networks,,,Difference,670,,2.0
195,Degree,networks,Degree networks,,,Intersection 1,2,2.0,2.0
196,Random,networks,Random networks,,,Difference,666,,2.0
197,Random,networks,Random networks,,,Intersection 1,4,2.0,2.0
198,Degree,networks,Degree networks,,,Difference,654,,2.0
199,Degree,networks,Degree networks,,,Intersection 1,10,2.0,2.0
200,Random,networks,Random networks,,,Difference,664,,2.0
201,Random,networks,Random networks,,,Intersection 1,5,2.0,2.0
