,Node,Network,Group,Network type,Conserved fraction,Prevalence of conserved fraction,Centrality,Upper limit,Lower limit,Values
73,257891,Input,anuran,Input networks,,,Closeness,0.7363138747660702,0.29816888385461926,"[('arctic_genus_flash.graphml', 0.5344827586206896), ('arctic_genus_spiec.graphml', 0.5)]"
74,4424785,Input,anuran,Input networks,,,Closeness,1,0,"[('arctic_genus_flash.graphml', 0.603448275862069), ('arctic_genus_spiec.graphml', 0.9310344827586207)]"
75,161623,Input,anuran,Input networks,,,Closeness,0.733781156976692,0.07656367060951486,"[('arctic_genus_flash.graphml', 0.3793103448275862), ('arctic_genus_spiec.graphml', 0.43103448275862066)]"
76,4465309,Input,anuran,Input networks,,,Closeness,1,0,"[('arctic_genus_flash.graphml', 0.46551724137931033), ('arctic_genus_spiec.graphml', 0.6724137931034483)]"
77,0,Input,anuran,Input networks,,,Closeness,1,0,"[('arctic_genus_flash.graphml', 0.5), ('arctic_genus_spiec.graphml', 0.6120689655172413)]"
78,276290,Input,anuran,Input networks,,,Closeness,0.789304371591795,0.460695628408205,"[('arctic_genus_flash.graphml', 0.6379310344827587), ('arctic_genus_spiec.graphml', 0.6120689655172413)]"
79,206038,Input,anuran,Input networks,,,Closeness,1,0,"[('arctic_genus_flash.graphml', 0.4827586206896552), ('arctic_genus_spiec.graphml', 0.5862068965517241)]"
80,1011380,Input,anuran,Input networks,,,Closeness,1,0,"[('arctic_genus_flash.graphml', 0.6724137931034483), ('arctic_genus_spiec.graphml', 0.19827586206896552)]"
81,208293,Input,anuran,Input networks,,,Closeness,0.5527466742180713,0,"[('arctic_genus_flash.graphml', 0.25), ('arctic_genus_spiec.graphml', 0.19827586206896552)]"
82,133533,Input,anuran,Input networks,,,Closeness,1,0,"[('arctic_genus_flash.graphml', 0.8448275862068966), ('arctic_genus_spiec.graphml', 0.6551724137931034)]"
83,211848,Input,anuran,Input networks,,,Closeness,0.7533114314687631,0,"[('arctic_genus_flash.graphml', 0.10344827586206896), ('arctic_genus_spiec.graphml', 0.19827586206896552)]"
84,112867,Input,anuran,Input networks,,,Closeness,1,0,"[('arctic_genus_flash.graphml', 0.5344827586206896), ('arctic_genus_spiec.graphml', 0.8362068965517241)]"
85,4402520,Input,anuran,Input networks,,,Closeness,1,0,"[('arctic_genus_flash.graphml', 0.017241379310344827), ('arctic_genus_spiec.graphml', 0.19827586206896552)]"
86,4411,Input,anuran,Input networks,,,Closeness,1,0.5666766220596535,"[('arctic_genus_flash.graphml', 0.8189655172413793), ('arctic_genus_spiec.graphml', 0.8620689655172413)]"
87,607006,Input,anuran,Input networks,,,Closeness,1,0.8646016833066203,"[('arctic_genus_flash.graphml', 0.9827586206896551), ('arctic_genus_spiec.graphml', 0.9655172413793104)]"
88,3431064,Input,anuran,Input networks,,,Closeness,1,0,"[('arctic_genus_flash.graphml', 0.6379310344827587), ('arctic_genus_spiec.graphml', 0.4482758620689655)]"
89,148890,Input,anuran,Input networks,,,Closeness,1,0,"[('arctic_genus_flash.graphml', 0.1896551724137931), ('arctic_genus_spiec.graphml', 0.4051724137931034)]"
90,1088618,Input,anuran,Input networks,,,Closeness,0.24873364110531085,0.13919739337744777,"[('arctic_genus_flash.graphml', 0.1896551724137931), ('arctic_genus_spiec.graphml', 0.19827586206896552)]"
91,524203,Input,anuran,Input networks,,,Closeness,0.24873364110531085,0.13919739337744777,"[('arctic_genus_flash.graphml', 0.1896551724137931), ('arctic_genus_spiec.graphml', 0.19827586206896552)]"
92,3174304,Input,anuran,Input networks,,,Closeness,1,0,"[('arctic_genus_flash.graphml', 0.4396551724137931), ('arctic_genus_spiec.graphml', 0.19827586206896552)]"
93,512006,Input,anuran,Input networks,,,Closeness,1,0.40921531308482373,"[('arctic_genus_flash.graphml', 0.9137931034482759), ('arctic_genus_spiec.graphml', 1.0)]"
94,2300392,Input,anuran,Input networks,,,Closeness,1,0,"[('arctic_genus_flash.graphml', 0.4396551724137931), ('arctic_genus_spiec.graphml', 0.5689655172413793)]"
95,216805,Input,anuran,Input networks,,,Closeness,0.8592924251202105,0,"[('arctic_genus_flash.graphml', 0.3275862068965517), ('arctic_genus_spiec.graphml', 0.4051724137931034)]"
96,570344,Input,anuran,Input networks,,,Closeness,1,0,"[('arctic_genus_flash.graphml', 0.04310344827586207), ('arctic_genus_spiec.graphml', 0.19827586206896552)]"
97,733712,Input,anuran,Input networks,,,Closeness,0.8927526474538632,0.5641439042702747,"[('arctic_genus_flash.graphml', 0.7413793103448276), ('arctic_genus_spiec.graphml', 0.7155172413793104)]"
98,814176,Input,anuran,Input networks,,,Closeness,1,0,"[('arctic_genus_flash.graphml', 0.5775862068965517), ('arctic_genus_spiec.graphml', 0.19827586206896552)]"
99,1128503,Input,anuran,Input networks,,,Closeness,0.9974672822106218,0.7783947867548956,"[('arctic_genus_flash.graphml', 0.896551724137931), ('arctic_genus_spiec.graphml', 0.8793103448275862)]"
100,103285,Input,anuran,Input networks,,,Closeness,0.4505647572506917,0,"[('arctic_genus_flash.graphml', 0.15517241379310345), ('arctic_genus_spiec.graphml', 0.19827586206896552)]"
101,223583,Input,anuran,Input networks,,,Closeness,1,0,"[('arctic_genus_flash.graphml', 0.3448275862068966), ('arctic_genus_spiec.graphml', 0.5)]"
102,250050,Input,anuran,Input networks,,,Closeness,1,0,"[('arctic_genus_flash.graphml', 0.04310344827586207), ('arctic_genus_spiec.graphml', 0.19827586206896552)]"
103,1101315,Input,anuran,Input networks,,,Closeness,1,0,"[('arctic_genus_flash.graphml', 0.39655172413793105), ('arctic_genus_spiec.graphml', 0.7586206896551724)]"
104,566080,Input,anuran,Input networks,,,Closeness,1,0,"[('arctic_genus_flash.graphml', 0.41379310344827586), ('arctic_genus_spiec.graphml', 0.19827586206896552)]"
105,113212,Input,anuran,Input networks,,,Closeness,1,0,"[('arctic_genus_flash.graphml', 0.5775862068965517), ('arctic_genus_spiec.graphml', 0.8362068965517241)]"
106,222087,Input,anuran,Input networks,,,Closeness,1,0.3574911751537887,"[('arctic_genus_flash.graphml', 0.8620689655172413), ('arctic_genus_spiec.graphml', 0.9482758620689655)]"
107,231965,Input,anuran,Input networks,,,Closeness,0.6523958733960726,0,"[('arctic_genus_flash.graphml', 0.1206896551724138), ('arctic_genus_spiec.graphml', 0.19827586206896552)]"
108,845780,Input,anuran,Input networks,,,Closeness,0.5527466742180713,0,"[('arctic_genus_flash.graphml', 0.25), ('arctic_genus_spiec.graphml', 0.19827586206896552)]"
109,766178,Input,anuran,Input networks,,,Closeness,1,0.28472658122834227,"[('arctic_genus_flash.graphml', 0.6982758620689655), ('arctic_genus_spiec.graphml', 0.6379310344827587)]"
110,334186,Input,anuran,Input networks,,,Closeness,1,0,"[('arctic_genus_flash.graphml', 0.8793103448275862), ('arctic_genus_spiec.graphml', 0.7155172413793104)]"
111,4409769,Input,anuran,Input networks,,,Closeness,0.5514803153233823,0,"[('arctic_genus_flash.graphml', 0.13793103448275862), ('arctic_genus_spiec.graphml', 0.19827586206896552)]"
112,742260,Input,anuran,Input networks,,,Closeness,0.7890605489841421,0,"[('arctic_genus_flash.graphml', 0.28448275862068967), ('arctic_genus_spiec.graphml', 0.19827586206896552)]"
113,1136344,Input,anuran,Input networks,,,Closeness,0.9381449909114514,0.06185500908854863,"[('arctic_genus_flash.graphml', 0.5344827586206896), ('arctic_genus_spiec.graphml', 0.46551724137931033)]"
114,968085,Input,anuran,Input networks,,,Closeness,1,0,"[('arctic_genus_flash.graphml', 0.8189655172413793), ('arctic_genus_spiec.graphml', 0.5517241379310345)]"
115,1129210,Input,anuran,Input networks,,,Closeness,1,0.6110464292302046,"[('arctic_genus_flash.graphml', 0.9655172413793104), ('arctic_genus_spiec.graphml', 0.9137931034482759)]"
116,4330207,Input,anuran,Input networks,,,Betweenness,1,0.66023784937186,"[('arctic_genus_flash.graphml', 0.896551724137931), ('arctic_genus_spiec.graphml', 0.8620689655172413)]"
117,112795,Input,anuran,Input networks,,,Betweenness,1,0,"[('arctic_genus_flash.graphml', 0.16379310344827586), ('arctic_genus_spiec.graphml', 0.3620689655172414)]"
118,214584,Input,anuran,Input networks,,,Betweenness,1,0,"[('arctic_genus_flash.graphml', 0.43103448275862066), ('arctic_genus_spiec.graphml', 0.7758620689655172)]"
119,279074,Input,anuran,Input networks,,,Betweenness,1,0,"[('arctic_genus_flash.graphml', 0.5775862068965517), ('arctic_genus_spiec.graphml', 0.3620689655172414)]"
120,160908,Input,anuran,Input networks,,,Betweenness,1,0,"[('arctic_genus_flash.graphml', 0.5775862068965517), ('arctic_genus_spiec.graphml', 0.3620689655172414)]"
121,279138,Input,anuran,Input networks,,,Betweenness,1,0.7636861252339298,"[('arctic_genus_flash.graphml', 1.0), ('arctic_genus_spiec.graphml', 0.9655172413793104)]"
122,545290,Input,anuran,Input networks,,,Betweenness,1,0,"[('arctic_genus_flash.graphml', 0.16379310344827586), ('arctic_genus_spiec.graphml', 0.3620689655172414)]"
123,1126251,Input,anuran,Input networks,,,Betweenness,0.9482758620689655,0.9482758620689655,"[('arctic_genus_flash.graphml', 0.9482758620689655), ('arctic_genus_spiec.graphml', 0.9482758620689655)]"
124,206565,Input,anuran,Input networks,,,Betweenness,1,0.5740309528201366,"[('arctic_genus_flash.graphml', 0.7758620689655172), ('arctic_genus_spiec.graphml', 0.8103448275862069)]"
125,209662,Input,anuran,Input networks,,,Betweenness,1,0.03243768604661601,"[('arctic_genus_flash.graphml', 0.6379310344827587), ('arctic_genus_spiec.graphml', 0.7413793103448276)]"
