"X104.AF"	"X104.Kuu"	"X104.Too2"	"X104.Too"	"X104.Abi"	"X104.Byl1"	"X104.AF1"	"X104.Abi2"	"X104.RL"	"X104.DH"	"X104.Tag"	"X104.Sva"	"X104.TM"	"X104.Byl2"	"X104.AF3"	"X104.CB"	"X104.CP"	"X104.Tru2"	"X104.Zac"	"X104.Thu"	"X104.Fai"	"X104.Abi3"	"X104.Art"	"X104.CT2"	"X104.DL"	"X104.DL1"	"X104.Noa"	"X104.Tru1"	"X104.KG"	"X104.KAV"	"X104.BI"	"X104.CT1"	"X104.WC"	"X104.CT"	"X104.Ska"	"X104.DL3"	"X104.Kil"	"X104.Ayl"	"X104.LR"	"X104.H1"	"X104.Lax"	"X104.H4"	"X104.H3"	"X104.H2"	"X104.KGR"	"X104.DL2"	"X104.Too3"	"X104.Too1"	"X104.AF2"	"X104.Yam"	"X104.Abi1"	"X104.CT3"
"3163059"	6	17	0	2	12	0	5	2	0	5	0	0	11	4	0	0	0	0	3	0	5	1	23	0	3	0	0	0	0	5	2	3	0	4	4	0	3	8	2	0	1	0	5	3	11	0	1	1	1	0	0	0
"4402520"	3	5	0	3	5	1	2	1	2	2	0	3	2	3	1	0	2	1	0	0	2	3	4	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	5	0	0	2	1	0	0	1	1	0	0	1	0
"734275"	9	14	0	11	3	6	11	0	0	2	0	0	3	5	1	0	0	0	0	9	1	1	0	3	0	0	0	0	0	3	2	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	3	1	3	0	0	0
"566080"	22	51	0	29	16	27	8	2	2	9	0	2	1	34	9	0	2	0	1	4	2	6	3	15	1	0	0	0	0	5	3	0	2	26	1	3	4	1	11	8	5	0	0	0	4	0	0	4	2	0	6	0
"4681"	0	6	3	2	8	0	0	1	0	0	0	0	16	3	0	0	0	1	0	0	1	0	20	0	5	1	0	0	0	3	6	2	1	8	4	7	1	2	2	15	1	1	15	0	1	2	4	0	0	3	0	0
"231965"	0	11	0	6	2	2	1	0	1	5	0	0	2	1	0	0	0	0	0	0	5	3	14	0	2	0	0	0	0	1	0	6	0	5	1	4	1	5	1	1	1	0	3	0	3	2	1	1	0	0	0	0
"705063"	4	0	0	2	0	7	5	2	29	0	2	10	0	3	2	3	7	5	0	4	7	0	0	0	0	0	8	1	6	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
"545290"	38	1	2	0	6	2	37	8	2	0	2	1	0	12	10	4	5	5	0	5	8	1	0	1	0	0	2	11	0	6	1	0	4	7	0	0	0	0	0	0	5	0	0	0	0	0	4	0	11	0	0	0
"4303531"	3	19	0	5	10	6	5	0	0	8	0	1	0	4	1	0	0	0	0	1	3	0	13	5	11	0	0	0	0	3	8	4	2	16	8	15	5	12	2	2	0	0	11	0	7	4	0	0	2	5	1	0
"512006"	1	95	0	25	44	13	0	1	0	21	0	0	18	17	2	0	0	0	0	0	10	4	121	9	65	6	1	0	3	7	21	72	0	100	42	65	6	38	1	18	0	10	35	4	36	63	0	5	1	14	6	0
"1109121"	4	0	1	1	1	0	4	2	2	0	1	0	3	0	1	1	1	0	2	1	1	0	0	2	0	0	0	1	0	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"727692"	2	21	1	4	14	3	6	5	0	3	0	0	11	5	4	0	0	0	0	0	2	2	9	21	7	2	0	0	0	14	10	14	1	66	11	5	6	10	0	11	0	0	17	2	8	3	2	1	1	6	0	2
"1140775"	0	4	0	1	0	0	0	0	0	4	0	0	2	0	0	4	0	0	0	0	3	1	6	0	2	1	0	0	0	0	1	7	0	5	7	3	0	0	1	4	0	2	0	0	2	1	0	0	0	0	1	0
"1638797"	5	9	1	10	5	2	12	7	18	1	6	15	5	5	6	11	16	20	3	8	4	1	8	0	3	0	4	8	5	0	10	0	6	3	0	0	0	1	1	1	0	1	1	0	2	0	5	0	1	0	0	0
"1110562"	0	3	1	3	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	5	0	2	0	0	0	0	0	0	1	0	3	2	8	1	1	1	2	0	0	1	0	0	3	0	1	0	0	1	0
"156065"	2	10	0	5	10	9	6	1	0	0	0	0	2	0	1	0	0	0	0	0	0	2	10	0	2	2	0	0	0	0	3	0	0	1	1	0	0	2	2	1	1	2	7	3	1	0	1	0	0	1	0	0
"4409769"	3	2	0	5	1	2	4	0	3	2	0	0	0	3	2	0	0	0	2	2	0	0	0	1	0	0	0	0	1	3	2	0	0	1	0	0	0	0	3	0	0	0	0	0	1	0	0	0	3	0	0	0
"160908"	61	32	4	14	24	16	43	15	0	3	0	4	28	19	24	0	0	2	7	12	0	5	0	14	0	0	0	2	0	24	10	0	8	39	0	0	4	0	3	0	1	0	0	2	2	0	7	2	11	0	1	4
"214584"	10	9	0	5	5	4	5	17	0	1	2	12	8	4	5	2	5	5	2	4	0	0	0	0	0	0	0	4	1	3	4	0	2	0	0	0	0	0	3	0	3	0	0	0	0	0	3	0	2	0	0	0
"1528654"	1	11	0	7	9	3	1	1	0	1	0	0	0	0	2	0	0	0	0	1	4	2	4	11	3	0	0	0	0	4	4	0	0	10	1	5	5	0	0	0	0	0	1	0	7	0	0	4	0	0	1	0
"210914"	7	5	0	10	1	0	10	3	4	2	0	4	14	0	5	0	2	5	0	5	3	0	15	3	2	0	1	0	1	6	8	0	0	7	2	6	1	1	2	1	1	0	1	1	2	1	7	0	5	1	0	0
"216771"	0	4	0	0	2	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	1	0	14	0	11	2	0	0	0	0	1	4	0	12	9	7	4	8	0	5	0	2	15	0	3	1	0	0	0	5	0	0
"4465309"	6	5	0	3	1	4	2	2	1	2	0	4	2	5	5	2	0	3	1	1	0	0	1	9	0	0	0	2	1	1	3	0	5	5	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0
"3616127"	8	24	0	5	18	5	9	1	1	1	0	1	7	7	0	0	0	0	0	0	0	3	38	0	14	0	0	0	0	4	6	0	0	17	18	19	4	10	2	15	1	6	29	3	6	6	0	0	0	4	0	0
"161623"	0	4	0	2	6	1	0	2	0	0	0	0	8	3	0	0	0	0	0	0	0	0	16	1	1	1	0	0	0	1	5	5	0	19	1	2	1	3	0	1	0	0	1	0	5	1	0	0	0	1	0	1
"279138"	53	182	1	90	104	46	37	14	4	91	0	2	71	56	20	0	0	0	1	8	37	28	101	13	74	3	0	0	0	31	29	29	2	29	70	122	49	40	34	45	15	7	40	13	103	68	5	21	5	17	21	0
"114356"	0	3	0	1	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	1	15	0	14	4	0	0	0	0	2	0	0	2	11	13	0	2	0	8	0	2	23	2	2	6	0	0	0	14	0	0
"1806981"	1	2	1	18	1	3	4	0	6	0	0	6	5	2	0	0	2	0	0	1	2	0	7	1	0	0	1	0	2	2	2	0	1	0	5	0	0	2	0	0	1	1	0	0	4	0	6	0	2	0	0	0
"968085"	6	52	0	8	7	2	2	12	0	3	0	2	18	5	6	0	0	0	1	1	3	4	103	8	13	5	0	0	0	2	24	10	0	41	11	23	6	7	7	20	1	2	10	5	9	1	1	1	1	6	0	0
"733712"	18	6	2	4	7	6	23	6	2	0	1	7	5	17	18	7	6	2	7	2	2	1	1	0	0	0	0	6	1	7	5	0	2	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	9	0	1	0
"217132"	5	1	1	7	5	3	5	5	5	0	0	1	0	4	4	0	6	4	0	2	1	0	0	2	0	0	0	0	1	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
"75371"	5	3	3	21	0	0	2	1	2	0	0	0	1	2	0	0	0	0	7	1	11	2	1	0	0	1	0	0	0	0	4	0	1	0	3	3	5	0	0	0	1	0	0	0	1	1	0	7	1	1	0	0
"4369159"	0	3	0	5	3	2	1	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	6	0	1	0	0	0	0	3	0	1	0	0	3	1	6	0	2	1	0	1	0	0	0	0	0	2	0	0	1	0
"524203"	10	9	0	3	5	3	6	7	11	3	1	5	4	8	19	1	5	1	4	17	2	3	0	9	0	0	2	1	2	4	2	1	6	8	0	0	0	0	8	0	2	0	0	0	0	0	10	0	4	0	0	0
"113588"	1	12	0	8	3	1	4	1	1	0	2	0	5	3	2	0	1	1	0	4	0	0	20	0	5	0	0	0	0	0	3	1	0	14	18	6	6	32	4	5	0	0	16	0	15	1	0	0	0	3	1	0
"4425896"	0	1	0	1	5	0	1	2	3	0	0	3	0	1	1	0	3	0	1	3	0	1	8	0	1	0	0	0	1	0	2	0	1	1	0	0	0	2	0	0	1	1	1	0	1	0	0	0	0	0	0	0
"83531"	2	5	0	4	3	1	6	0	3	2	2	3	4	1	2	8	5	2	1	2	0	0	26	2	0	0	7	1	1	0	6	2	2	11	0	0	0	1	0	0	1	0	3	0	2	0	0	0	2	2	2	0
"113212"	1	248	0	106	80	6	0	4	0	7	0	0	15	0	1	0	0	0	0	1	27	8	201	29	84	10	0	0	0	3	93	90	0	182	176	151	124	62	0	80	0	8	103	32	105	43	0	30	0	19	11	8
"246078"	0	0	2	29	2	0	1	0	0	1	0	1	1	0	0	1	0	0	0	0	5	0	9	0	11	0	0	0	0	2	0	0	2	4	9	15	2	2	2	0	0	0	0	1	0	5	2	12	0	0	1	1
"1044319"	5	2	0	8	6	7	0	7	3	0	0	2	0	5	3	7	10	2	0	0	1	0	0	5	0	0	2	1	0	0	17	0	2	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"4327003"	0	2	0	1	1	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	3	1	3	0	0	1	0	0	0	0	3	14	0	1	4	5	0	1	0	1	0	1	0	0	2	0	0	0	0	0	0	0
"3122801"	5	46	2	12	22	13	9	3	0	2	0	0	3	21	7	0	0	0	4	3	1	9	0	6	0	0	0	0	0	10	6	0	1	12	1	0	0	1	8	6	3	0	0	0	6	0	3	2	0	3	3	0
"209662"	2	0	1	1	2	10	8	3	2	1	0	20	4	5	3	6	6	3	2	7	2	0	0	27	0	0	0	4	2	2	3	0	2	24	0	0	0	0	0	0	2	0	0	0	2	0	0	0	1	0	0	0
"151283"	0	7	0	8	0	5	1	0	0	13	0	0	2	5	0	0	0	0	2	0	3	0	15	4	9	2	0	0	0	1	3	4	0	3	4	8	3	5	0	4	0	2	7	1	4	5	1	0	0	0	0	0
"4478413"	0	3	0	3	4	2	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	2	24	2	18	0	1	0	0	0	4	9	0	15	21	26	2	23	1	6	0	3	3	1	3	35	0	1	0	0	1	3
"630818"	3	3	0	3	3	1	3	0	4	2	0	1	4	2	0	0	0	0	0	4	2	0	0	4	0	0	0	0	0	3	0	0	0	1	0	0	1	0	1	0	3	0	0	0	1	0	1	1	0	0	0	0
"442533"	5	6	1	5	7	32	3	0	4	4	0	2	1	23	5	0	1	0	0	0	1	2	0	29	0	0	0	0	0	0	2	0	0	11	0	0	0	3	5	0	2	0	0	0	0	0	0	0	1	0	0	0
"610418"	2	1	0	6	1	0	1	0	4	0	5	1	3	0	0	9	3	0	3	0	1	0	1	0	0	0	7	2	1	0	1	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
"978664"	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	2	35	1	2	0	5	0	0	0	2	4	0	3	6	2	1	4	0	0	0	0	1	1	1	5	1	0	0	2	0	0
"286368"	6	2	0	5	9	5	5	2	2	0	0	7	1	0	1	0	8	3	0	6	2	1	0	2	0	0	0	0	1	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
"1112793"	18	1	1	5	0	5	4	9	3	0	2	0	1	5	1	1	3	3	0	4	12	0	0	0	0	0	3	0	4	0	3	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	3	0	0	0
"1106732"	0	5	0	5	1	2	0	0	2	2	0	0	0	4	1	0	2	0	0	0	0	1	10	0	0	0	0	0	0	1	6	0	0	2	5	5	0	0	0	2	1	0	3	0	0	0	0	2	1	0	0	1
"570344"	2	2	0	5	1	0	3	0	2	1	0	1	2	0	1	0	0	0	0	0	3	0	3	0	0	0	1	0	0	2	2	0	0	1	0	1	0	0	0	0	0	0	0	0	5	0	1	0	1	0	1	0
"804187"	12	0	0	11	0	0	8	2	19	0	3	15	4	1	11	27	45	21	4	11	4	0	0	3	0	0	11	4	0	0	5	0	6	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	9	0	0	0
"607006"	56	2	0	15	7	0	57	12	0	0	0	6	9	17	20	4	6	9	5	4	0	1	0	0	0	0	0	9	0	20	2	0	6	2	0	0	0	0	0	0	0	0	0	0	0	0	5	0	11	0	0	0
"529793"	2	1	0	1	3	0	3	0	2	0	2	5	0	1	1	7	0	4	1	2	3	0	0	2	0	0	1	9	3	0	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
"112795"	1	32	1	89	16	3	0	9	0	17	0	0	19	5	0	0	0	0	2	5	30	2	116	2	41	6	0	0	0	4	10	23	2	19	19	93	2	20	7	23	1	4	40	10	19	50	6	5	0	16	0	0
"523224"	27	37	7	77	32	41	61	16	97	31	3	7	45	24	14	6	8	2	6	35	39	5	70	3	8	2	20	1	2	12	20	5	29	27	13	11	7	7	19	2	14	4	3	0	22	4	30	4	21	0	2	0
"4478794"	0	12	0	6	13	1	0	0	0	1	0	0	7	2	0	0	0	0	0	0	0	6	11	0	30	2	0	0	0	2	5	5	0	4	4	17	3	6	0	11	0	9	4	3	10	5	0	0	0	1	0	0
"783593"	0	8	1	1	5	5	0	0	0	0	0	0	0	4	0	0	0	0	0	0	3	0	1	0	2	0	0	0	0	3	3	2	6	1	2	4	1	3	1	1	0	0	4	0	5	0	0	0	0	0	4	0
"4405449"	13	3	0	4	8	4	7	4	3	0	0	0	0	4	6	0	4	1	1	4	0	0	0	1	0	0	0	0	1	2	2	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
"573298"	0	67	0	30	30	3	0	0	0	2	0	0	2	2	0	0	0	0	0	1	5	18	9	6	14	0	0	0	0	0	24	44	0	22	14	29	17	1	0	2	0	0	6	2	22	7	0	4	0	0	1	0
"248618"	1	4	0	3	3	0	3	0	2	0	3	2	1	0	1	2	1	4	1	3	1	0	1	1	0	0	2	2	0	0	1	0	0	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0
"4376272"	20	11	0	2	9	8	5	1	5	2	0	0	8	16	8	0	0	0	1	0	1	3	0	4	0	0	0	0	0	5	2	0	0	10	0	0	0	0	3	0	2	0	0	0	6	0	0	0	3	0	2	0
"4405710"	0	7	0	3	1	2	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	12	0	7	1	0	0	0	0	1	5	0	4	3	13	7	4	0	4	0	3	8	1	2	7	0	0	0	1	0	0
"766178"	35	70	0	17	35	15	11	5	0	3	0	0	13	11	1	0	0	0	2	5	1	2	31	7	14	2	0	0	0	17	17	4	1	17	2	6	9	20	2	11	5	4	8	1	13	6	2	3	0	6	6	0
"210306"	7	20	0	2	12	1	4	8	0	8	0	0	6	3	2	0	0	0	0	2	6	4	4	1	4	0	0	0	0	9	2	0	1	1	3	4	3	0	3	1	1	0	0	0	1	2	0	1	3	2	2	0
"154519"	5	34	0	27	35	2	3	6	0	11	0	0	27	5	4	0	0	0	2	2	2	12	74	2	22	0	0	0	0	19	4	3	0	22	8	14	13	39	4	11	0	6	27	1	28	8	2	3	0	14	3	3
"564196"	3	3	0	2	4	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	10	0	6	1	0	0	0	0	1	1	0	3	14	5	2	20	0	2	0	1	1	0	3	1	0	0	0	1	3	0
"1127423"	0	10	0	6	13	3	8	0	0	0	0	1	4	5	3	0	0	0	1	1	5	1	3	0	2	0	0	0	0	6	0	4	0	0	0	1	1	1	0	4	0	0	3	1	5	1	2	0	0	1	0	0
"279074"	0	4	0	11	16	0	0	0	1	3	0	0	2	0	0	0	0	0	0	0	2	13	3	0	13	0	0	0	0	0	4	0	0	1	10	1	1	3	0	2	0	0	0	0	1	46	0	8	0	1	0	0
"792450"	4	17	2	15	4	0	2	2	0	2	0	0	10	1	1	0	0	0	1	0	2	2	29	1	1	0	0	0	0	2	0	0	0	5	0	6	1	2	5	5	0	0	2	1	2	3	2	3	1	6	1	0
"0"	961	1554	120	1214	1367	1093	939	385	1671	460	949	860	754	1261	471	1999	3155	737	313	728	574	242	1316	392	376	38	815	1422	365	426	750	236	402	843	313	354	146	399	278	273	201	72	295	41	290	189	261	73	319	93	100	10
