"X104.AF"	"X104.Kuu"	"X104.Too2"	"X104.Too"	"X104.Abi"	"X104.Byl1"	"X104.AF1"	"X104.Abi2"	"X104.RL"	"X104.DH"	"X104.Tag"	"X104.Sva"	"X104.TM"	"X104.Byl2"	"X104.AF3"	"X104.CB"	"X104.CP"	"X104.Tru2"	"X104.Zac"	"X104.Thu"	"X104.Fai"	"X104.Abi3"	"X104.Art"	"X104.CT2"	"X104.DL"	"X104.DL1"	"X104.Noa"	"X104.Tru1"	"X104.KG"	"X104.KAV"	"X104.BI"	"X104.CT1"	"X104.WC"	"X104.CT"	"X104.Ska"	"X104.DL3"	"X104.Kil"	"X104.Ayl"	"X104.LR"	"X104.H1"	"X104.Lax"	"X104.H4"	"X104.H3"	"X104.H2"	"X104.KGR"	"X104.DL2"	"X104.Too3"	"X104.Too1"	"X104.AF2"	"X104.Yam"	"X104.Abi1"	"X104.CT3"
"545306"	2	0	0	2	0	1	4	1	4	2	0	0	0	1	1	1	0	0	0	1	2	0	1	1	0	2	2	1	3	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
"222209"	8	18	3	28	3	0	5	5	3	2	0	1	37	2	0	0	0	0	3	1	16	3	28	0	6	0	0	0	0	2	0	0	1	7	0	8	5	6	2	3	0	4	2	2	4	7	2	5	0	3	3	1
"28341"	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	7	0	2	0	9	2	0	0	0	0	0	0	1	3	1	15	1	0	1	1	0	2	3	1	0	5	0	1	0	0	1	1
"103285"	4	4	0	3	0	0	3	1	0	3	0	0	1	0	1	0	0	0	0	0	1	0	7	2	1	0	0	0	0	0	0	0	0	4	1	0	1	5	2	1	0	0	0	0	1	1	0	1	3	0	0	0
"839128"	0	8	1	5	9	2	2	0	0	7	0	0	4	6	0	0	0	0	0	1	1	3	12	1	8	0	0	0	0	1	4	19	0	10	3	16	4	13	0	3	1	1	3	1	12	6	0	4	0	3	3	0
"4450823"	5	15	0	3	6	0	2	1	0	0	0	0	2	1	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	1	0	3	3	1	1	1	2	0	2	6	0	2	0	0	0	0	1	0	0
"4424843"	7	58	2	3	41	11	7	1	0	32	0	0	20	27	3	0	0	0	0	1	10	3	51	3	23	2	0	0	0	7	15	5	2	29	1	32	10	4	2	10	4	5	2	2	0	32	8	7	4	4	8	0
"4479485"	0	10	1	2	5	8	1	0	11	6	0	0	1	1	0	0	0	0	0	0	2	1	2	0	3	1	0	0	0	0	2	1	0	0	2	4	2	1	2	2	1	0	1	1	4	6	0	1	0	1	1	0
"510316"	2	1	1	6	1	3	1	5	0	1	1	0	7	1	0	3	0	2	0	1	4	5	7	0	1	0	1	1	0	5	0	0	3	0	0	0	0	1	2	2	1	0	0	0	1	0	3	1	3	1	1	0
"4328501"	5	23	0	22	18	9	6	0	0	14	0	0	11	10	0	0	0	0	1	0	6	15	53	3	26	1	0	0	0	2	7	15	1	21	25	61	6	16	2	7	0	3	6	4	3	22	3	4	1	3	1	0
